IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.166.168.8,42126,443,true,LAX,North America,Los Angeles,177,0.22
34.94.153.2,8443,443,true,LAX,North America,Los Angeles,178,0.22
38.47.239.93,21196,443,true,LAX,North America,Los Angeles,179,0.19
154.21.95.113,54915,443,true,LAX,North America,Los Angeles,175,0.03
118.26.39.145,80,80,false,LAX,North America,Los Angeles,211,0.00
152.32.211.127,443,443,true,LAX,North America,Los Angeles,213,0.00
154.17.8.11,8084,8080,false,LAX,North America,Los Angeles,178,0.00
38.49.59.43,443,443,true,LAX,North America,Los Angeles,175,0.00
154.21.88.85,19865,443,true,LAX,North America,Los Angeles,162,0.00
154.21.88.85,14257,443,true,LAX,North America,Los Angeles,164,0.00
45.249.244.53,443,443,true,LAX,North America,Los Angeles,238,0.00
154.21.95.27,8443,443,true,LAX,North America,Los Angeles,165,0.00
154.17.27.49,2004,443,true,LAX,North America,Los Angeles,177,0.00
154.17.30.48,23235,443,true,LAX,North America,Los Angeles,179,0.00
38.49.38.194,24440,443,true,LAX,North America,Los Angeles,178,0.00
154.17.28.20,8086,8080,false,LAX,North America,Los Angeles,177,0.00
154.21.88.85,38087,443,true,LAX,North America,Los Angeles,175,0.00
38.60.89.113,44844,443,true,LAX,North America,Los Angeles,180,0.00
154.21.88.85,56757,443,true,LAX,North America,Los Angeles,178,0.00
