IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,254,1.89
47.236.205.188,2086,2086,false,SIN,Asia Pacific,Singapore,255,1.85
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,254,1.77
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,258,1.76
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,256,1.72
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,260,1.67
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,269,1.65
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,254,1.54
8.222.137.192,2086,2086,false,SIN,Asia Pacific,Singapore,256,1.53
8.219.78.1,8080,8080,false,SIN,Asia Pacific,Singapore,253,1.51
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,255,1.49
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,258,1.47
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,259,1.44
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,253,1.41
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,254,1.39
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,273,1.37
47.245.126.151,2095,2095,false,SIN,Asia Pacific,Singapore,266,1.33
8.219.111.175,8880,8880,false,SIN,Asia Pacific,Singapore,274,1.32
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,263,1.32
47.245.126.151,8880,8880,false,SIN,Asia Pacific,Singapore,271,1.32
8.222.187.4,80,80,false,SIN,Asia Pacific,Singapore,265,1.31
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,265,1.29
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,260,1.28
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,252,1.26
103.167.151.182,443,443,true,SIN,Asia Pacific,Singapore,139,1.26
47.236.75.152,2053,2053,true,SIN,Asia Pacific,Singapore,249,1.24
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,255,1.19
138.2.104.102,443,443,true,SIN,Asia Pacific,Singapore,100,1.17
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,257,1.14
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,263,1.11
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,251,1.11
47.236.180.51,8080,8080,false,SIN,Asia Pacific,Singapore,266,1.08
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,255,1.06
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,256,1.05
47.245.86.230,2095,2095,false,SIN,Asia Pacific,Singapore,273,0.99
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,265,0.96
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,262,0.96
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,258,0.94
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,256,0.90
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,265,0.89
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,269,0.82
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,258,0.77
47.245.84.124,8880,8880,false,SIN,Asia Pacific,Singapore,261,0.77
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,572,0.77
8.219.110.81,8443,8443,true,SIN,Asia Pacific,Singapore,252,0.75
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,438,0.69
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,251,0.69
47.245.102.52,2095,2095,false,SIN,Asia Pacific,Singapore,271,0.68
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,262,0.56
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,525,0.55
8.222.214.231,2095,2095,false,SIN,Asia Pacific,Singapore,265,0.42
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,264,0.41
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,269,0.39
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,573,0.38
45.159.51.121,32199,443,true,SIN,Asia Pacific,Singapore,62,0.33
8.222.208.38,443,443,true,SIN,Asia Pacific,Singapore,269,0.32
47.236.180.51,2082,2082,false,SIN,Asia Pacific,Singapore,268,0.31
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,256,0.28
138.2.109.58,443,443,true,SIN,Asia Pacific,Singapore,111,0.22
8.219.110.81,2096,2096,true,SIN,Asia Pacific,Singapore,266,0.18
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,259,0.12
54.169.46.224,443,443,true,SIN,Asia Pacific,Singapore,55,0.00
8.219.107.135,80,80,false,SIN,Asia Pacific,Singapore,256,0.00
43.134.34.18,443,443,true,SIN,Asia Pacific,Singapore,58,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,56,0.00
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,252,0.00
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,257,0.00
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,54,0.00
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,259,0.00
8.219.200.145,8080,8080,false,SIN,Asia Pacific,Singapore,261,0.00
