IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.232.148,2083,2083,true,SIN,Asia Pacific,Singapore,254,6.53
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,260,6.52
8.219.78.188,2086,2086,false,SIN,Asia Pacific,Singapore,265,6.48
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,243,6.43
8.222.137.192,2053,2053,true,SIN,Asia Pacific,Singapore,254,6.37
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,251,6.33
8.219.122.55,2082,2082,false,SIN,Asia Pacific,Singapore,269,6.32
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,255,6.31
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,252,6.28
8.222.187.4,8880,8880,false,SIN,Asia Pacific,Singapore,265,6.28
8.219.114.201,2083,2083,true,SIN,Asia Pacific,Singapore,261,6.26
8.219.174.142,2087,2087,true,SIN,Asia Pacific,Singapore,250,6.24
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,254,6.23
8.219.189.143,2083,2083,true,SIN,Asia Pacific,Singapore,259,6.21
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,254,6.20
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,261,6.20
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,271,6.20
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,257,6.20
8.222.146.222,2083,2083,true,SIN,Asia Pacific,Singapore,255,6.17
8.219.97.50,8880,8880,false,SIN,Asia Pacific,Singapore,259,6.14
8.219.100.168,2095,2095,false,SIN,Asia Pacific,Singapore,263,6.14
8.219.50.180,8080,8080,false,SIN,Asia Pacific,Singapore,257,6.08
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,267,6.08
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,266,6.08
8.222.187.4,8080,8080,false,SIN,Asia Pacific,Singapore,254,6.02
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,255,6.01
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,257,6.00
